Trace
Swept SA
A.24.56,N9000B
3416999412.14214,-75.7381820678711
3416999412.62414,-74.6123657226563
3416999413.10614,-73.6973419189453
3416999413.58814,-72.7970199584961
3416999414.07014,-71.8543930053711
3416999414.55214,-70.9677810668945
3416999415.03414,-70.2354965209961
3416999415.51614,-69.7547378540039
3416999415.99814,-69.5510635375977
3416999416.48014,-69.3483327804686
3416999416.96214,-69.6579284667969
3416999417.44414,-69.800163269043
3416999417.92614,-69.8940811157227
3416999418.40814,-69.989372253418
3416999418.89014,-70.1142272949219
3416999419.37214,-70.2534332275391
3416999419.85414,-70.3917694091797
3416999420.33614,-70.5142440795898
3416999420.81814,-70.6184616088867
3416999421.30014,-70.7154693603516
3416999421.78214,-70.8161468505859
3416999422.26414,-70.9313888549805
3416999422.74614,-71.0727157592773
3416999423.22814,-71.2586059570313
3416999423.71014,-71.4726715087891
3416999424.19214,-71.686882019043
3416999424.67414,-71.8732147216797
3416999425.15614,-72.0044784545898
3416999425.63814,-72.0849990844727
3416999426.12014,-72.1304779052734
3416999426.60214,-72.1498413085938
3416999427.08414,-72.1520080566406
3416999427.56614,-72.1423110961914
3416999428.04814,-72.0441513061523
3416999428.53014,-71.889518737793
3416999429.01214,-71.6064925222294
3416999429.49414,-71.7659759521484
3416999429.97614,-71.9778900146484
3416999430.45814,-72.5228424072266
3416999430.94014,-73.2868423461914
3416999431.42214,-74.0803833007813
3416999431.90414,-74.7139587402344
3416999432.38614,-74.9932098388672
3416999432.86814,-74.7046432495117
3416999433.35014,-74.0686264038086
3416999433.83214,-72.8268086825141
3416999434.31414,-73.1603240966797
3416999434.79614,-73.5954132080078
3416999435.27814,-75.0300674438477
3416999435.76014,-77.110107421875
3416999436.24214,-79.3178482055664
3416999436.72414,-81.135627746582
3416999437.20614,-82.0409393310547
3416999437.68814,-81.640739440918
3416999438.17014,-80.4372787475586
3416999438.65214,-77.8870250646375
3416999439.13414,-78.501594543457
3416999439.61614,-79.2260208129883
3416999440.09814,-82.150749206543
3416999440.58014,-86.4591751098633
3416999441.06214,-90.8102340698242
3416999441.54414,-93.8628234863281
3416999442.02614,-94.2793731689453
3416999442.50814,-91.4738159179688
3416999442.99014,-86.5341949462891
3416999443.47214,-80.7741165161133
3416999443.95414,-75.5071868896484
3416999444.43614,-72.0210037231445
3416999444.91814,-70.1769104003906
3416999445.40014,-69.2206573486328
3416999445.88214,-68.7575302124023
3416999446.36414,-68.3927917480469
3416999446.84614,-67.7409210205078
3416999447.32814,-66.9019927978516
3416999447.81014,-66.0780487060547
3416999448.29214,-65.3113174438477
3416999448.77414,-64.6440277099609
3416999449.25614,-64.1163635253906
3416999449.73814,-63.6788444519043
3416999450.22014,-63.3255805969238
3416999450.70214,-63.0019411792441
3416999451.18414,-63.0484313964844
3416999451.66614,-63.2132682800293
3416999452.14814,-63.6348648071289
3416999452.63014,-64.2703857421875
3416999453.11214,-65.0526809692383
3416999453.59414,-65.9146194458008
3416999454.07614,-66.7972640991211
3416999454.55814,-67.9896545410156
3416999455.04014,-69.4211578369141
3416999455.52214,-70.756462097168
3416999456.00414,-71.6602249145508
3416999456.48614,-71.7963104248047
3416999456.96814,-70.9479598999023
3416999457.45014,-69.401969909668
3416999457.93214,-67.5583190917969
3416999458.41414,-65.8170013427734
3416999458.89614,-64.5697631835938
3416999459.37814,-63.6664085388184
3416999459.86014,-62.9177207946777
3416999460.34214,-62.3643951416016
3416999460.82414,-62.0471153259277
3416999461.30614,-61.984816346708
3416999461.78814,-62.3461608886719
3416999462.27014,-63.001148223877
3416999462.75214,-63.8337669372559
3416999463.23414,-64.7046585083008
3416999463.71614,-65.4803924560547
3416999464.19814,-66.3880767822266
3416999464.68014,-67.4340133666992
3416999465.16214,-68.3788757324219
3416999465.64414,-68.9833755493164
3416999466.12614,-69.0072860717773
3416999466.60814,-68.2656097412109
3416999467.09014,-66.966064453125
3416999467.57214,-65.4256362915039
3416999468.05414,-63.961311340332
3416999468.53614,-62.8863983154297
3416999469.01814,-62.1620178222656
3416999469.50014,-61.6080436706543
3416999469.98214,-61.1698112487793
3416999470.46414,-60.7926597595215
3416999470.94614,-60.4227828979492
3416999471.42814,-60.0841636657715
3416999471.91014,-59.8024940490723
3416999472.39214,-59.5643844604492
3416999472.87414,-59.3564491271973
3416999473.35614,-59.1648330688477
3416999473.83814,-58.9493026733398
3416999474.32014,-58.7301979064941
3416999474.80214,-58.4513768460901
3416999475.28414,-58.5053749084473
3416999475.76614,-58.6112976074219
3416999476.24814,-58.8825836181641
3416999476.73014,-59.2848014831543
3416999477.21214,-59.7996978759766
3416999477.69414,-60.4090042114258
3416999478.17614,-61.0971336364746
3416999478.65814,-62.0727691650391
3416999479.14014,-63.2882804870605
3416999479.62214,-64.4772186279297
3416999480.10414,-65.3731307983398
3416999480.58614,-65.7096176147461
3416999481.06814,-65.3356781005859
3416999481.55014,-64.4542922973633
3416999482.03214,-63.3359527587891
3416999482.51414,-62.2511787414551
3416999482.99614,-61.4686698913574
3416999483.47814,-60.9696006774902
3416999483.96014,-60.5940246582031
3416999484.44214,-60.2957153320313
3416999484.92414,-60.028450012207
3416999485.40614,-59.7461090087891
3416999485.88814,-59.4329261779785
3416999486.37014,-59.1210021972656
3416999486.85214,-58.8427619934082
3416999487.33414,-58.6306266784668
3416999487.81614,-58.5166511535645
